sentence,label
wesa belli oka ganin ikmanata,Bad
wesabelli oka ganin ikmanata,Bad
moda belli oka ganin ikmanata,Good
puthe okanam maha moda wedak,Good 
wesa balla okkoma kalane,Bad
wesaballa okkoma kalane,Bad
gas balla okkoma kalane,Good
gas sulangata weneyi,Good 
wesawa nisane me okkoma,Bad
wesawanisane me okkoma,Bad
mahinda nisane me okkoma,Good
mahinda rajapaksha ape maha raja,Good 
wesige putha thamath merenne ne,Bad
wesigeputha thamath merenne ne,Bad
thanosge putha thamath merenne ne,Good
thanos inne mona film ekeda,Good 
wesige putha ithuru dunne ne,Bad
wesigeputha ithuru dunne ne,Bad
kade putha ithuru dunne ne,Good
den kade wahannayi yanne,Good 
oki thama eriya eke patta wesi,Bad
oki thama eriya eke pattawesi,Bad
oki thama eriya eke patta kella,Good
e kella nam maru ban,Good 
me keri wesi thama mata methanata enna kiwwe,Bad
mekeri wesi thama mata methanata enna kiwwe,Bad
me keri wesithama mata methanata enna kiwwe,Bad
mekeriwesi thama mata methanata enna kiwwe,Bad
me keri wesithamamata methanata enna kiwwe,Bad
mekeri wesithama mata methanata enna kiwwe,Bad
mekeriwesithama mata methanata enna kiwwe,Bad
me manussaya thama mata methanata enna kiwwe,Good
e manussaya gamata loku sewayak karamin hitiye,Good
eyi mata gemba kiwwe man kethada,Good
enna kanna bonna mokatada hetak,Good
me thama ape loku seeya,Good
mama awe ne un mawa methanata ekkan awa,Good
mekata mata karanna deyak ne,Good
me muhudu hukanna lamayi hadanne nedda,Bad 
me muhudu hukannalamayi hadanne nedda,Bad
me muhuduhukanna lamayi hadanne nedda,Bad 
me muhuduhukannalamayi hadanne nedda,Bad  
me muhudu jeeween lamayi hadanne nedda,Good
pitasakwala jeeween innawa da nedda yanna thama hariyata soya gena netha,Good
lamayi udesana pasala bala pitath wethi,Good
muhudu pathula godak anduru sthanayaki,Good
taukanda ehemath ekak thiyenawada den,Bad
taukandaehemath ekak thiyenawada den,Bad
eththata ehemath ekak thiyenawada den,Good
eththata eka nam mara wedak ne,Good 
taukanna eyi eka kal demme,Bad
taukannaeyi eka kal demme,Bad
ane eyi eka kal demme,Good
ane den mama mokada methana karanna one,Good 
methana nam tahukanna hithanna epa,Bad
methana namtahukanna hithanna epa,Bad
methana nam tahukannahithanna epa,Bad
methana namtahukannahithanna epa,Bad
methana nam bonna hithanna epa,Good
kanna bonna thiyenawa nam thawa mona mangulada one kiyanne,Good
chande denna kalin poddak hithanna,Good
ada daruwata nam thabana dawasa,Good 
tahike math oka wishwasa karala salli demma,Bad
tahikemath oka wishwasa karala salli demma,Bad
ado math oka wishwasa karala salli demma,Good
ado hina yanne nethi wihilu karanna epa,Good  
taike umba awada,Bad
taikeumba awada,Bad
apoyi umba awada,Good
apoyi mokakda me mata siddha wuye,Good 
keri thambiyo thama bomba thibbe,Bad
kerithambiyo thama bomba thibbe,Bad
anthawadee thambiyo thama bomba thibbe,Good
agamika anthawadee piris rata bedeemata kumanthrana karayi,Good 
gotukola ponnaya umba thamayi dawasakatawath miniha,Bad
gotukola ponnayaumba thamayi dawasakatawath miniha,Bad
gotukolaponnaya umba thamayi dawasakatawath miniha,Bad
gotukolaponnayaumba thamayi dawasakatawath miniha,Bad
gotukola mudalali umba thamayi dawasakatawath miniha,Good
mudalali biskat pekat ekak dennako,Good 
eka dawasakatawath me peththe ewilla yanna enna,Good
gotukola kanna man asa ne,Good
gihin wedak bala ganin ponna keriya,Bad
gihin wedak bala ganin ponnakeriya,Bad
gihin wedak bala ganinponna keriya,Bad
gihin wedak bala ganin ponnakeriya,Bad
gihin wedak bala ganinponnakeriya,Bad
gihin wedak bala ganin pampori janaka,Good
me inne ape game pampori janaka,Good 
ada gihin wedak ne,Good
mama yanakota bas eka gihin,Good
meka poddak alla ganin,Good
ayiyo heminenawa,Bad 
ayiyoheminenawa,Bad 
ayiyo heppenawa,Good
thawa podden heppenawa,Good
ballayi belliyi heminenawa,Bad
ballayi belliyiheminenawa,Bad
ballayi belliyi duwanawa,Good
kiyana de ahala ikmanata methanin duwanawa,Good 
me wesauththa kohenda mehe awe,Bad
mewesauththa kohenda mehe awe,Bad
me wesauththakohenda mehe awe,Bad
mewesauththakohenda mehe awe,Bad
me satha kohenda mehe awe,Good
kiyapan balanna math ekka satha wenna,Good 
larnas ekata kohenda yanna thiyenne,Good
amma mehe awe ne,Good
ara thama inne ape ponna wesa manamali,Bad
ara thama inne apeponna wesa manamali,Bad
ara thama inne ape ponna wesamanamali,Bad
ara thama inne apeponna wesamanamali,Bad
ara thama inne apeponna wesamanamali,Bad
ara thama inne apeponnawesamanamali,Bad
ara thama inne ape putha bandina manamali,Good
putha bandina lanu kerali tika ko,Good
ara idama thama api ganna yanne,Good
manamalaya manamali deka puduma wiya,Good
ape thaththa thamath awe nene,Good
methana inne samanya pawulwala aya neme,Good
ponna pakaya umba hithuwada mama modayata andanna,Bad
ponnapakaya umba hithuwada mama modayata andanna,Bad
ponna pakayaumba hithuwada mama modayata andanna,Bad
ponnapakayaumba hithuwada mama modayata andanna,Bad
wilbawe sethan umba hithuwada mama modayata andanna,Good
wilbawe sethan ayiyage awasan katayuthu heta hawasa karanwa,Good 
heta wedin ekata andanna kenek hoyagannath one,Good
oya hithuwada wahana elawana eka lesi wedak kiyala,Good
nilmanel huththi genalla deepan salli,Bad
nilmanel huththigenalla deepan salli,Bad
nilmanelhuththi genalla deepan salli,Bad
nilmanelhuththigenalla deepan salli,Bad
nilmanel malwalata genalla deepan salli,Good
me malwalata pen tikak ihinna,Good
oka deepan lamayekuta,Good
salli salli kiyala beluwe ne gaththa aluth ekak,Good
ehelamal wesi kadagenada thiyenne,Bad
ehelamal wesikadagenada thiyenne,Bad
ehelamalwesi kadagenada thiyenne,Bad
ehelamalwesikadagenada thiyenne,Bad
ehelamal wattiyata kadagenada thiyenne,Good
deheth wattiyata bulath genna,Good 
oya kakula kadagenada inne,Good
ehelamal mona patada,Good
ponna paka ada ube sellam iwarayi,Bad
ponna pakaada ube sellam iwarayi,Bad
ponnapaka ada ube sellam iwarayi,Bad
ponnapaka ada ube sellam iwarayi,Bad
ponnapakaada ube sellam iwarayi,Bad
maitheepala sirisena ada ube sellam iwarayi,Good
maitheepala sirisena aye janadhipathiwaranayata serase,Good 
podi lamayi sellam bath uyathi,Good
adin ayadumpath bharaganna dinaya iwarayi,Good
ube gama koheda,Good 
mage topa hapanna epa,Bad
mage topahapanna epa,Bad
magetopa hapanna epa,Bad
magetopahapanna epa,Bad
mage pensala hapanna epa,Good
e rathu pata pensala hondayi chithra andinna,Good
oka mage lensuwa,Good
okanam karanna hithannawath epa,Good
umbane panthiye inna ekama kimbi simba,Bad
umbane panthiye inna ekamakimbi simba,Bad
umbane panthiye inna ekama kimbisimba,Bad
umbane panthiye inna ekamakimbisimba,Bad
umbane panthiye inna ekama honda lamaya,Good
honda lamaya den gihilla ithuru weda tikath oya wagema karanna,Good
umbane methana inna ekama modaya,Good
ada panthiye lamayige pemineema aduya,Good
me kimbisimba umbata oka hambenne,Bad
me kimbisimbaumbata oka hambenne,Bad
mekimbisimba umbata oka hambenne,Bad
mekimbisimbaumbata oka hambenne,Bad
me jayantha umbata oka hambenne,Good
jayantha ennako poddak me peththata,Good
umbata me karapu wedeta wandi gewanna weyi,Good
oki umbata bandinna hambenne,Good
gon keriya kaloth karanne oya wage dasa balu wedak,Bad
gonkeriya kaloth karanne oya wage dasa balu wedak,Bad
gon keriyakaloth karanne oya wage dasa balu wedak,Bad
gonkeriyakaloth karanne oya wage dasa balu wedak,Bad
gon wassa kaloth karanne oya wage dasa balu wedak,Good
me wassa ape ekek neme ne,Good 
balu petawa kema soya pare gaman kaleya,Good
eka abhyawakasha yanawak wage,Good
ambo me inne keriya wage,Bad
ambo me innekeriya wage,Bad
ambo me inne keriyawage,Bad
ambo me innekeriyawage,Bad
ambo me inne pora wage,Good
pora kukulan wikineemata etha,Good 
me para nam mama kohomahari pas wenawa,Good
den nam ithin oyalata saruyi wage,Good
mama thamayi methana inna keriya,Bad
mama thamayi methana innakeriya,Bad
mama thamayi methana inna niladhariya,Good
niladhariya sewaya pehera hera thibe,Good 
mata mahaththayo oya keri seen thama allanne neththe,Bad
mata mahaththayo oyakeri seen thama allanne neththe,Bad
mata mahaththayo oya keriseen thama allanne neththe,Bad
mata mahaththayo oyakeriseen thama allanne neththe,Bad
mata mahaththayo oya loku seen thama allanne neththe,Good
ara loku gedara mage,Good 
eyi oya mama witharak allanne,Good
mahaththayo mata podi udawwaka karanna,Good
ettimba ekka sellam karanna asada,Bad
ettimbaekka sellam karanna asada,Bad
etigedi ekka sellam karanna asada,Good
mata etigedi one wedakata,Good 
ambakissa dewaleta yamu,Bad
ambakissadewaleta yamu,Bad
wishnu dewaleta yamu,Good
yapanaye wishnu dewaleta yana gaman,Good 
keri londaya me inne,Bad
kerilondaya me inne,Bad
pol londaya me inne,Good
kurunegala pol thrikonayata ayath pradeshayaki,Good
oya kella nam keri baduwa ban,Bad
oya kella namkeri baduwa ban,Bad
oya kella nam keribaduwa ban,Bad
oya kella namkeribaduwa ban,Bad
oya kella nam supiri baduwa ban,Good
supiri sinahawakata signal danthalopa,Good
me plastik kella moke ekakda,Good
aye parak sellam baduwa kadagaththa neh,Good
mama kemathi rosa patata thiyena kimba ganna,Bad
mama kemathi rosa patata thiyena kimbaganna,Bad
mama kemathi rosa patata thiyenakimba ganna,Bad
mama kemathi rosa patata thiyenakimbaganna,Bad
mama kemathi rosa patata thiyena endum ganna,Good
issaraha thiyen endum kaden poddak balanna,Good 
eya mata kemathi ne wage,Good
rosa male natuwe katu,Good
ammata hukanna katha karanna epa,Bad
ammata hukannakatha karanna epa,Bad
ammatahukanna katha karanna epa,Bad
ammatahukannakatha karanna epa,Bad
ammata seren katha karanna epa,Good
eka seren ema wasthuwa nopenee giyeya,Good 
ape ammata nam owa kiyanna yanna epa,Good
minissu mona katha kiwwath ewa echchara ganan ganna epa,Good
thoge ammata hukanawa dena ganim,Bad
thoge ammatahukanawa dena ganim,Bad
thoge ammata hukanawadena ganim,Bad
thoge ammatahukanawadena ganim,Bad
thoge ammta kiyanawa dena ganim,Good
kiyana deyak ikmanata kiyanawa,Good 
issarala oka karanna kalin hariyata hithata ganim,Good
dena dena e werada aye karanna epa,Good
appata hukanawa mara wede wune,Bad 
appata hukanawamara wede wune,Bad
appatahukanawa mara wede wune,Bad
appatahukanawamara wede wune,Bad
appata siri mara wede wune,Good
lankawe siri asiri nerambeemata sancharakayan meratata pemine,Good
e wede den thama iwara kale,Good
appata meka poddak ethulata giyane,Good
appata hukanna wage katha kiyanna epa bosa,Bad
appata hukannawage katha kiyanna epa bosa,Bad
appatahukanna wage katha kiyanna epa bosa,Bad
appatahukannawage katha kiyanna epa bosa,Bad
appata yanna wage katha kiyanna epa bosa,Good
oya lamayi den gedara yanna,Good 
minissunta ohoma katha hadanna epa,Good
bosa api ehenam kepuna,Good
dannedda u game inna hamba keriya,Bad
dannedda u game inna hambakeriya,Bad
dannedda u game inna hamba gona,Good 
gona gel seeyak bara adiyi,Good
mun maha keri hambayo tikak,Bad
mun mahakeri hambayo tikak,Bad
mun maha kerihambayo tikak,Bad
mun mahakerihambayo tikak,Bad
mun maha buru hambayo tikak,Good
sanath putha denwath oya puththalam buru katha kiyana eka nawathwanna,Good
ane tikak ehata wenna,Good
maha raja gemunu rata eksesak kaleya,Good  
e mona keri wedakda kale,Bad
e mona keriwedakda kale,Bad
e monakeri wedakda kale,Bad
e monakeriwedakda kale,Bad
e mona ketha wedakda kale,Good
e lamaya oya kiyana tharam ketha ne,Good 
eyi kale mulu hadinma oba mata adare,Good
shree wikrama rajasinha raju raja kale mona kaleda,Good
eki nam keri sepa denawa,Bad
eki nam kerisepa denawa,Bad
eki namkeri sepa denawa,Bad
eki namkerisepa denawa,Bad
eki nam patta sepa denawa,Good
othana thiyena gahen patta tikak iragena enna,Good 
eki ehema ne ban,Good
siduhath kumaru rajageyi sepa ath heriyeya,Good
leli puka dekkoth kiyanna,Bad
lelipuka dekkoth kiyanna,Bad
leli pukadekkoth kiyanna,Bad
lelipukadekkoth kiyanna,Bad
leli putu dekkoth kiyanna,Good
thaththa gedarata putu genaweya,Good 
okun inne oya muhuda langa leli manduwe,Good
eliyen gihin putu dekak thiyanna,Good
oya kotu payiya tikak hadagannawako,Bad
oya kotupayiya tikak hadagannawako,Bad
oya kotu payiyatikak hadagannawako,Bad
oya kotupayiyatikak hadagannawako,Bad
oya kotu enga tikak hadagannawako,Good
methana enga penna endum adinna epa,Good 
mata seethala wathura tikak denna,Good
kotu keli thabala podi paradel kola genella,Good
me dara payiya umbata ethida,Bad
me darapayiya umbata ethida,Bad
me dara payiyaumbata ethida,Bad
me darapayiyaumbata ethida,Bad
me dara piththa umbata ethida,Good
mata poddak umbe krikat piththa diyanko,Good 
me oyata bath ethida,Good
poddak dara thiyena hariya allala balanna,Good
eka nikan tomba hila wage,Bad
eka nikantomba hila wage,Bad
eka nikan tombahila wage,Bad
eka nikantombahila wage,Bad
eka nikan indikatu hila wage,Good
mahana meshime indikatu tika keduna,Good 
malli nikan idala salli hoyanna widiyak thiyeyi,Good
meke hila podi nisa tikak amaruyi,Good 
keri mayil hinda mokuth karanna be,Bad
kerimayil hinda mokuth karanna be,Bad
bade mayil hinda mokuth karanna be,Good
mata bade amaruwa heduna,Good
halo payi chuti mallita ehema kohomada,Bad
halo payichuti mallita ehema kohomada,Bad
halopayi chuti mallita ehema kohomada,Bad
halopayichuti mallita ehema kohomada,Bad
halo sudu chuti mallita ehema kohomada,Good
mage sudu endum tika lamayekuta dunna,Good   
mallita thama unada,Good
chuti du tharaha wela,Good
ube topa mona patada,Bad
ubetopa mona patada,Bad
ube topamona patada,Bad
ubetopamona patada,Bad
ube male mona patada,Good
oya male kadenda gaththe,Good
uba heta mona patada andinne,Good
me mona wikarayakda me,Good
ayiyo fak ne,Bad
ayiyo fakne,Bad
ayiyofak ne,Bad
ayiyofakne,Bad
ayiyo lejjayi ne,Good
mata nam owa kiyanna be mokada mata lejjayi,Good
ayiyo den kohomada gedara yanne,Good
karapu wede kethayi ne,Good
ane huk pala yanna methanin,Bad
ane hukpala yanna methanin,Bad
anehuk pala yanna methanin,Bad
anehukpala yanna methanin,Bad
ane gobbaya pala yanna methanin,Good
gobbaya mama neme umbane yako,Good 
methanin ehala mokak weyida danne,Good
ane ehema karanna epa apita,Good
thongale genu ne,Bad
thongalegenu ne,Bad
meegamuwe genu ne,Good
api niwaduwata meegamuwe giyemu,Good   
huka mata eka genna amathaka wuna,Bad
hukamata eka genna amathaka wuna,Bad
huta mata eka genna amathaka wuna,Good
huta mara kes eka wenna yanne,Good 
kimbi jus kiyanne monawatada,Bad
kimbijus kiyanne monawatada,Bad
leman jus kiyanne monawatada,Good
leman gedi tikak nedda ganna,Good 
umba methana hukanawane ithin,Bad 
umba methanahukanawane ithin,Bad
umba methana hukanawaneithin,Bad  
umba methanahukanawaneithin,Bad 
umba methana nanawane ithin,Good
eth mama thama nanawane,Good
ithin umba den monawada karanne,Good
umba man gena mokak hithuwath kamak ne,Good
tho wedak karanne nethuwa methana hukanawane ithin,Bad
tho wedak karanne nethuwa methanahukanawane ithin,Bad
tho wedak karanne nethuwa methana hukanawaneithin,Bad
tho wedak karanne nethuwa methanahukanawaneithin,Bad
tho wedak karanne nethuwa methana kiyawanawane ithin,Good
un kiyawanna gaththama kiyawanawane kiyawillak,Good 
tho wede iwara kara gaththa nam ikmana methanin yanna,Good
salli nethuwa kawuruwath kisi deyak karanne,Good
besike puthe meka mata karala diyan,Bad
besikeputhe meka mata karala diyan,Bad
amarage puthe meka mata karala diyan,Good
me amarage pawulada,Good 
oya besige lamayi methana innawa,Bad
oyabesige lamayi methana innawa,Bad
oya besigelamayi methana innawa,Bad
oyabesigelamayi methana innawa,Bad
oya ammage lamayi methana innawa,Good
ammage fon eka ring wenawa,Good 
lamayi ikamana lehesthi wenna,Good
innawa nam methana inna epeye,Good
besikge katha methanata adala ne,Bad
besikgekatha methanata adala ne,Bad
prabandha katha methanata adala ne,Good
eya widya prabandha katha kiyaweemata elmak dakwayi,Good
namal pamkaya minissu rawattannayi hadanne,Bad
namalpamkaya minissu rawattannayi hadanne,Bad
namal pamkayaminissu rawattannayi hadanne,Bad
namalpamkayaminissu rawattannayi hadanne,Bad
namal kapatiya minissu rawattannayi hadanne,Good
nariya kele inna lokuma kapatiya,Good 
namal mitak dothin aran,Good
oka umbawa rawattannayi hadanne,Good
me humtha mechchara wela mona karanawada manda,Bad
mehumtha mechchara wela mona karanawada manda,Bad
me humthamechchara wela mona karanawada manda,Bad
mehumthamechchara wela mona karanawada manda,Bad
me miniha mechchara wela mona karanawada manda,Good
miniha loka warthawak thiyannayi yanne,Good
mama nam godak wela methanta ewilla,Good
api kiyala mona karannada,Good
umbala maha humkana charithane,Bad
umbala maha humkanacharithane,Bad
umbala mahahumkana charithane,Bad
umbala mahahumkanacharithane,Bad
umbala maha amuthu charithane,Good
shree lankawa indiyan sagare pihiti amuthu etayaki,Good
umbala supiri charithane,Good
umbala den mokakda karanna hithan inne,Good
tauk paren ayinweyan,Bad
taukparen ayinweyan,Bad
kollo paren ayinweyan,Good
kollo ehema thamayi,Good 
mark huptha mawa bend kala,Bad
markhuptha mawa bend kala,Bad
mark hupthamawa bend kala,Bad
markhupthamawa bend kala,Bad
mark ayiya mawa bend kala,Good
ayiya nangi samanga sellam karayi,Good 
me bend eka mata dennako,Good
mawa mokatada mehata genawe,Good
besil pamkaya thamayi rata kewe,Bad
besilpamkaya thamayi rata kewe,Bad
besil pamkayathamayi rata kewe,Bad
besilpamkayathamayi rata kewe,Bad
besil mama thamayi rata kewe,Good
handa mama inne poya lan wenakota puthe,Good 
pol mama pol wagayak thiyenawa,Good
me rata mage rata ma ipaduna rata,Good
doktar danna pamka,Bad 
doktar dannapamka,Bad 
doktar danna itigediya,Good
itigediya kiyanne moketada,Good
okata ochchara heminenna hadanna epa ban,Bad
okata ochcharaheminenna hadanna epa ban,Bad
okata ochchara heminennahadanna epa ban,Bad
okata ochcharaheminennahadanna epa ban,Bad
okata ochchara dangalanna hadanna epa ban,Good
mekata achchara dangalanna one ne,Good
